token,count,example
stanzo,1,"""You know, Stanzo, I miss the times when fire cultivators were only used for working in the fields. Back then, I thought: by the Throne, damn that forest! Can't"
silvarius,1,"""You know, Stanzo, I miss the times when fire cultivators were only used for working in the fields. Back then, I thought: by the Throne, damn that forest! Can't"
dirt-covered,1,Dirt-Covered Vox
priestess-from-the-stars,1,"The elder looks at Idira with genuine reverence, nodding slightly after every word, her mouth half-open. ""This ruler's brother did warn that a priestess-from-th"
sabre-tooth,1,"""This ruler has already had the honour to greet a Starborn: as strong as a sabre-tooth boar, as nimble as a forest jha-guar, and as wise as the three-tongued gu"
jha-guar,1,"""This ruler has already had the honour to greet a Starborn: as strong as a sabre-tooth boar, as nimble as a forest jha-guar, and as wise as the three-tongued gu"
three-tongued,1,"""This ruler has already had the honour to greet a Starborn: as strong as a sabre-tooth boar, as nimble as a forest jha-guar, and as wise as the three-tongued gu"
ten-day,1,"""This ruler has already had the honour to greet a Starborn: as strong as a sabre-tooth boar, as nimble as a forest jha-guar, and as wise as the three-tongued gu"
fein,1,"""The flow of time is truly merciless to the meagre memory of peasants."" Cassia lets out a weary sigh and slightly rolls her eyes. ""According to the works of the"
magno-glass,1,"The vox-caster hits the ground with a crunch, and a web of cracks scatters along the magno-glass. After a few more stomps, the device lets out one last screech."
throne-knows-where,1,"""Are you suggesting that I go looking for the Haemonculus Throne-knows-where in the Deadlands?"""
exhilaratingly,1,"""Better than yours, that's for sure."" Calligos's tone is provoking. ""There is nothing better than raw power and direct blows. Standing face to face with your fo"
god-father,1,"Leads-Ahead blinks in confusion and shrugs. ""As long as the gods favour the inhabitants of Quetza Temer, we will continue to pray for the goodness of their eter"
speaks-with-gods's,1,"Silver sparks flash at the ends of Speaks-With-Gods's hair, distracting Calligos from the conversation. The priest shudders as if from cold, moans, claws at his"
half-sister,1,"""Leads-Ahead is the half-sister of this servant of smoke, fire, and ash. She was the first to emerge from the mother's womb and thus named the next ruler of the"
lingo-cultural,1,"""The lingo-cultural analysis of the target's speech suggests that the expression 'three life-dwells' equals one hundred and fifty standard Terran years."""
headsman's,1,"Ulfar's voice resounds like a headsman's axe striking the block. ""Mock him, put him to death, trample his personal badge, and expunge him from the sagas. That i"
rabidly,1,"Calligos turns around and finally notices the blood-covered Arch-Militant. Something about his servant seems to have puzzled him. ""What's wrong with your eyes, "
pneumo-collar,1,"""Have we a deal, then? An exchange of leashes? Von Valancius receives the Sslyth, and Winterscale the Drukhari. Let's see how well a pneumo-collar fits you, xen"
seashell-like,1,"As Calligos bares his teeth ominously, the old man quickly starts whispering something into a strange seashell-like adornment he wears. Brown sparks flash in Ca"
unsurprisingly,1,"Unsurprisingly, at your first meeting, Calligos Winterscale appeared before you in a more favourable light. However, under the layer of dried blood and dirt, yo"
ever-twisting,1,"""Quiet, Worten. This hunt truly has dragged on for quite some time. The ever-twisting paths, the paltry game... The dullness of it all is suffocating."" The rage"
forest-home,1,"The old man guiltily lowers his head. ""The forest-home of this priest and his people had always been full of wisdom and life. But the fire-rain called by the ou"
outsiders-from-the-darkness,1,"The old man guiltily lowers his head. ""The forest-home of this priest and his people had always been full of wisdom and life. But the fire-rain called by the ou"
close-knit,1,"""One day, you too will grow sick of all the talking, and then you too will choose shooting xenos on a wild planet over endless intrigue."" Cheerful notes ring in"
catachan,1,"""The forests of Quetza Temer are not like the jungles of Catachan, new blood. The only thing that could kill you here is your own stupidity... or an unfortunate"
much-lauded,1,"Calligos snarls, flying instantly into a white-hot fury. ""You think you can judge me? Me, a Rogue Trader? Draw your weapon, then, and we will see what the much-"
self-made,1,"Calligos shrugs. ""Everything in this galaxy depends on one's efforts and willpower. A simple truth that many Rogue Traders sometimes fail to see from their self"
groxpen,1,"""Are you finished with all of your high society errands in this groxpen, ? The forest has calmed down, but now I am starting to lose my patience."""
eidolons,1,"""If you are sentient creatures and not mere eidolons, I suggest you back down without a fight. I did not come here to claim your lives."""
me-from-a-different-version-of-existence,1,"""Some refer to me as the Warden of the Expanse, but I prefer being addressed simply as . Nice to meet you... ah... me-from-a-different-version-of-existence."""
jumped-up,1,"""To your reality? Funny that. Reality is malleable like clay. I feed it with the energies of the warp and shape it to match my whims. I am the master of realiti"
knockoff,1,"""I was finished off by xenos?"" Calligos smiles. ""Come closer, boy, and I will show you the real Calligos Winterscale instead of the cheap knockoff who bore that"
peacemaking,1,"""A great deed is not accomplished by peacemaking. It is accomplished by spilling blood with a righteous hand!"""
fiery-hearted,1,"""By the Exalted One, my fiery-hearted shereen, our friendship would not have blossomed under the light of every star, it seems."""
xenorelics,1,"Rows of data are scrolling by on the cogitator screen. You can barely catch a few familiar words that grab your attention: ""Theodora,"" ""xenorelics,"" ""threats,"" "
mock-knock,1,"[Leer and mock-knock at the door] ""Knock-knock..."""
knock-knock,1,"[Leer and mock-knock at the door] ""Knock-knock..."""
cause-and-effect,1,"Something in the cause-and-effect connections of existence shifts with a click, the gears stop and then start turning backward. The paths taken by the universe "
ruler-straight,1,The tiny notebook is adorned with the coat of arms of House von Valancius. The pages made from real paper carry a pleasant scent of perfume and are covered in r
calligraphic,1,The tiny notebook is adorned with the coat of arms of House von Valancius. The pages made from real paper carry a pleasant scent of perfume and are covered in r
unconquered,1,"""We have much to discuss, you and I. Our next destination, for one thing. The darkness of the unknown hides many more such beasts, and I intend to find every la"
fletched,1,"The power of the C'tan Shard is such that it redefines the very notion of power. But it has a weakness, one that you can see only now, with the Shard and its ri"
untime,1,"The C'tan wishes to Be. All C'tan exist to spread and conquer, not to stay manacled within untime, where It was entombed by the contemptible sentient tools, awa"
star-devouring,1,"""Do not listen. Reject the promises. Do not allow your mind to be clouded, elantach. No one is capable of receiving everything — or granting everything. Not eve"
nigh-unfettered,1,"As you stand before the Yoke's control altar, you gaze upon it, possibly the greatest instrument of destruction in the history of your race. The key that unlock"
tachyonic,1,"""May tachyonic wind carry my words, may the oceans of subatomic resonance reflect it, and may it resound until the world grows old."" Convulsions begin to affect"
unbecomes,1,"""The star devourer is asleep yet awake. His breath is a poisonous pestilence. His dreams are engrammatic acid. Quantum uncertainty is his shroud, and that which"
voice-like,1,"""Shame upon the Cryptogeometric Sentinel who was entrusted with guarding the paths of actualisation and failed to be vigilant. Unworthy feet have trodden those "
